All Whiskers,,,,,,Bridged Whiskers,,,,,,,,Critical Bridged Whiskers,,,,,,,,Simulation Inputs,
Whisker #,Length (um),Width (um),Resistance (ohm),Iteration,,Whisker #,Length (um),Diameter (um),Resistance (ohm),Iteration,Conductor 1,Conductor 2,,Whisker #,Length (um),Diameter (um),Resistance (ohm),Iteration,Conductor 1,Conductor 2,,Parameter,Value
1,3256.764,76.1049,0.07803649,1,,16,2481.514,36.39787,0.259957,1,C5,NetC5_1,,,,,,,,,,Length Mu,2000
2,2371.713,70.41443,0.06638584,1,,106,2395.067,100.7635,0.03273771,1,R21,NetR21_2,,,,,,,,,,Length Sigma,1000
3,812.6479,78.43204,0.01833378,1,,51,686.4578,12.56041,0.6038688,1,C3,NetC3_1,,,,,,,,,,Width Mu,50
4,1215.196,105.0224,0.01529041,1,,9,2911.787,94.40273,0.04534475,1,R17,NetR16_2,,,,,,,,,,Width Sigma,45
5,2556.395,40.04891,0.2211989,1,,111,2924.834,9.562359,4.439231,1,NetR12_1,NetR11_2,,,,,,,,,,# Of Whiskers,150
6,733.8081,35.15247,0.0824152,1,,13,2245.989,53.09985,0.1105497,1,R3,NetR3_2,,,,,,,,,,Conductive Material Selection,copper
7,1293.189,42.06319,0.1014365,1,,123,1994.336,71.71663,0.05381398,1,R20,NetR20_2,,,,,,,,,,Whisker Material,Tin
8,2420.876,59.35018,0.09538171,1,,97,3002.411,-2.409897,71.74801,1,R28,NetD3_1,,,,,,,,,,Distribution Selection,Normal
9,2911.787,94.40273,0.04534476,1,,128,3130.441,161.461,0.01666505,2,D2,NetD2_2,,,,,,,,,,Whisker Spawn Point X,0
10,145.7911,77.17947,0.003396755,1,,56,1470.395,46.0074,0.09640849,2,Q1,GND,,,,,,,,,,Whisker Spawn Point Y,0
11,1985.81,65.86549,0.06352702,1,,111,4014.801,18.15363,1.690727,2,R10,R11,,,,,,,,,,Whisker Spawn Point Z,0
12,1948.823,7.622478,4.654967,1,,124,2809.407,24.68664,0.6397753,2,R7,NetR7_2,,,,,,,,,,X-Coord,3
13,2245.989,53.09985,0.1105497,1,,122,2822.258,65.78482,0.09050696,2,R10,NetC2_1,,,,,,,,,,Y-Coord,1
14,536.2507,13.64793,0.3995498,1,,57,3991.984,7.828896,9.039083,2,GND,NetQ1_1,,,,,,,,,,Z-Coord,3
15,2105.374,47.17432,0.1312969,1,,10,4397.366,50.14148,0.2427364,2,GND,NetQ1_1,,,,,,,,,,Gravity,Earth
16,2481.514,36.39787,0.259957,1,,33,1732.144,-0.1641846,8917.764,2,NetR12_1,R12,,,,,,,,,,# of Iterations,6
17,3237.028,61.89848,0.1172528,1,,48,2422.913,-11.42917,2.574217,3,C5,NetC5_1,,,,,,,,,,Directory Path,C:\test
18,2088.973,-18.70439,0.8286712,1,,91,2597.472,78.18913,0.05896505,3,R14,NetR7_2,,,,,,,,,,Save File Name,test80
19,-537.9775,-8.921814,-0.9379818,1,,47,981.9841,15.32952,0.5799408,3,C5,NetC5_1,,,,,,,,,,Shock Active,N
20,2654.303,62.43186,0.09450932,1,,140,3101.48,71.27478,0.08472934,3,Q1,GND,,,,,,,,,,Vibration Active,N
21,2659.68,-14.31607,1.801019,1,,105,1492.909,29.91921,0.2314566,3,R36,NetC6_2,,,,,,,,,,,
22,909.9907,38.83281,0.0837483,1,,98,1986.824,31.39468,0.2797589,3,R21,NetR20_2,,,,,,,,,,,
23,3081.634,23.14874,0.7981104,1,,56,1409.053,27.31993,0.2620022,3,GND,NetQ1_1,,,,,,,,,,,
24,2169.078,79.48682,0.04764547,1,,120,1248.901,44.01504,0.08946692,3,NetC2_2,C2,,,,,,,,,,,
25,2635.569,56.06074,0.116384,1,,55,1674.08,23.31192,0.4275203,3,R16,NetR16_2,,,,,,,,,,,
26,3375.487,159.6877,0.01837088,1,,16,2935.88,28.952,0.4860913,3,L1,NetL1_1,,,,,,,,,,,
27,-105.3994,111.1564,-0.001183876,1,,135,2983.611,85.35118,0.05684074,3,R8,NetR8_2,,,,,,,,,,,
28,1481.755,-16.5125,0.7542017,1,,68,2673.972,31.22614,0.3805895,3,R6,NetC1_2,,,,,,,,,,,
29,1008.611,21.89775,0.2919182,1,,7,3336.943,148.2652,0.02106721,3,R19,NetD2_1,,,,,,,,,,,
30,1756.307,54.11328,0.08323948,1,,48,1282.932,18.87075,0.4999903,4,R17,NetC4_2,,,,,,,,,,,
31,2311.928,74.22118,0.05824455,1,,82,3336.844,147.256,0.02135632,4,R28,NetL2_1,,,,,,,,,,,
32,-826.4778,72.94194,-0.02155823,1,,69,1755.392,-29.37061,0.2824129,4,R11,NetC2_2,,,,,,,,,,,
33,1500.073,-24.46668,0.3477753,1,,19,1382.941,63.11221,0.04818518,4,L2,NetL2_1,,,,,,,,,,,
34,2456.478,97.52353,0.03584516,1,,74,3630.228,63.03484,0.1267971,4,R12,NetC3_2,,,,,,,,,,,
35,2590.382,-76.04268,0.06217068,1,,148,3024.063,110.0149,0.03467565,4,GND,NetQ1_1,,,,,,,,,,,
36,2575.763,116.8724,0.0261709,1,,27,1566.184,-2.819321,27.34579,4,Q1,GND,,,,,,,,,,,
37,1182.314,59.17199,0.04686375,1,,80,2918.302,24.60712,0.6688752,4,R9,NetR8_2,,,,,,,,,,,
